author,tag,quote
b'Charles M. Schulz',b'chocolate',"b""\xe2\x80\x9cAll you need is love. But a little chocolate now and then doesn't hurt.\xe2\x80\x9d"""
b'William Nicholson',b'misattributed-to-c-s-lewis',"b""\xe2\x80\x9cWe read to know we're not alone.\xe2\x80\x9d"""
b'Albert Einstein',b'knowledge',b'\xe2\x80\x9cAny fool can know. The point is to understand.\xe2\x80\x9d'
b'Jorge Luis Borges',b'books',b'\xe2\x80\x9cI have always imagined that Paradise will be a kind of library.\xe2\x80\x9d'
b'George Eliot',b'inspirational',b'\xe2\x80\x9cIt is never too late to be what you might have been.\xe2\x80\x9d'
b'George R.R. Martin',b'read',"b'\xe2\x80\x9cA reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.\xe2\x80\x9d'"
b'C.S. Lewis',b'books',b'\xe2\x80\x9cYou can never get a cup of tea large enough or a book long enough to suit me.\xe2\x80\x9d'
b'Marilyn Monroe',Unspecified,b'\xe2\x80\x9cYou believe lies so you eventually learn to trust no one but yourself.\xe2\x80\x9d'
b'Marilyn Monroe',b'girls',"b'\xe2\x80\x9cIf you can make a woman laugh, you can make her do anything.\xe2\x80\x9d'"
b'Albert Einstein',b'life',"b'\xe2\x80\x9cLife is like riding a bicycle. To keep your balance, you must keep moving.\xe2\x80\x9d'"
b'Marilyn Monroe',b'love',b'\xe2\x80\x9cThe real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.\xe2\x80\x9d'
b'Marilyn Monroe',b'attributed-no-source',"b""\xe2\x80\x9cA wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.\xe2\x80\x9d"""
b'Martin Luther King Jr.',b'hope',b'\xe2\x80\x9cOnly in the darkness can you see the stars.\xe2\x80\x9d'
b'J.K. Rowling',b'dumbledore',"b'\xe2\x80\x9cIt matters not what someone is born, but what they grow to be.\xe2\x80\x9d'"
b'James Baldwin',b'love',"b'\xe2\x80\x9cLove does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.\xe2\x80\x9d'"
b'Jane Austen',b'friendship',"b'\xe2\x80\x9cThere is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.\xe2\x80\x9d'"
b'Eleanor Roosevelt',b'attributed',b'\xe2\x80\x9cDo one thing every day that scares you.\xe2\x80\x9d'
b'Marilyn Monroe',b'attributed-no-source',"b'\xe2\x80\x9cI am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.\xe2\x80\x9d'"
b'Albert Einstein',b'music',"b'\xe2\x80\x9cIf I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.\xe2\x80\x9d'"
b'Haruki Murakami',b'books',"b'\xe2\x80\x9cIf you only read the books that everyone else is reading, you can only think what everyone else is thinking.\xe2\x80\x9d'"
b'Alexandre Dumas fils',b'misattributed-to-einstein',b'\xe2\x80\x9cThe difference between genius and stupidity is: genius has its limits.\xe2\x80\x9d'
b'Stephenie Meyer',b'drug',"b""\xe2\x80\x9cHe's like a drug for you, Bella.\xe2\x80\x9d"""
b'Ernest Hemingway',b'books',b'\xe2\x80\x9cThere is no friend as loyal as a book.\xe2\x80\x9d'
b'Helen Keller',b'inspirational',"b'\xe2\x80\x9cWhen one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.\xe2\x80\x9d'"
b'George Bernard Shaw',b'inspirational',"b""\xe2\x80\x9cLife isn't about finding yourself. Life is about creating yourself.\xe2\x80\x9d"""
b'Charles Bukowski',b'alcohol',"b""\xe2\x80\x9cThat's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.\xe2\x80\x9d"""
b'Suzanne Collins',b'the-hunger-games',b'\xe2\x80\x9cYou don\xe2\x80\x99t forget the face of the person who was your last hope.\xe2\x80\x9d'
b'Suzanne Collins',b'humor',"b""\xe2\x80\x9cRemember, we're madly in love, so it's all right to kiss me anytime you feel like it.\xe2\x80\x9d"""
b'C.S. Lewis',b'love',"b'\xe2\x80\x9cTo love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.\xe2\x80\x9d'"
b'J.R.R. Tolkien',b'bilbo',b'\xe2\x80\x9cNot all those who wander are lost.\xe2\x80\x9d'
b'J.K. Rowling',b'live-death-love',"b'\xe2\x80\x9cDo not pity the dead, Harry. Pity the living, and, above all those who live without love.\xe2\x80\x9d'"
b'Ernest Hemingway',b'good',b'\xe2\x80\x9cThere is nothing to writing. All you do is sit down at a typewriter and bleed.\xe2\x80\x9d'
b'Ralph Waldo Emerson',b'life',b'\xe2\x80\x9cFinish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.\xe2\x80\x9d'
b'Mark Twain',b'education',b'\xe2\x80\x9cI have never let my schooling interfere with my education.\xe2\x80\x9d'
b'Dr. Seuss',b'troubles',"b""\xe2\x80\x9cI have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!\xe2\x80\x9d"""
b'Alfred Tennyson',b'friendship',b'\xe2\x80\x9cIf I had a flower for every time I thought of you...I could walk through my garden forever.\xe2\x80\x9d'
b'Charles Bukowski',b'humor',b'\xe2\x80\x9cSome people never go crazy. What truly horrible lives they must lead.\xe2\x80\x9d'
b'Terry Pratchett',b'humor',"b'\xe2\x80\x9cThe trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.\xe2\x80\x9d'"
b'Dr. Seuss',b'humor',"b'\xe2\x80\x9cThink left and think right and think low and think high. Oh, the thinks you can think up if only you try!\xe2\x80\x9d'"
b'J.D. Salinger',b'authors',"b""\xe2\x80\x9cWhat really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.\xe2\x80\x9d"""
b'George Carlin',b'humor',b'\xe2\x80\x9cThe reason I talk to myself is because I\xe2\x80\x99m the only one whose answers I accept.\xe2\x80\x9d'
b'John Lennon',b'beatles',"b""\xe2\x80\x9cYou may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.\xe2\x80\x9d"""
b'W.C. Fields',b'humor',b'\xe2\x80\x9cI am free of all prejudice. I hate everyone equally. \xe2\x80\x9d'
b'Ayn Rand',Unspecified,"b""\xe2\x80\x9cThe question isn't who is going to let me; it's who is going to stop me.\xe2\x80\x9d"""
b'Mark Twain',b'books',"b""\xe2\x80\x9c\xe2\x80\xb2Classic\xe2\x80\xb2 - a book which people praise and don't read.\xe2\x80\x9d"""
b'Albert Einstein',b'mistakes',b'\xe2\x80\x9cAnyone who has never made a mistake has never tried anything new.\xe2\x80\x9d'
b'Jane Austen',b'humor',"b""\xe2\x80\x9cA lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.\xe2\x80\x9d"""
b'J.K. Rowling',b'integrity',"b'\xe2\x80\x9cRemember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.\xe2\x80\x9d'"
b'Jane Austen',b'books',"b'\xe2\x80\x9cI declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.\xe2\x80\x9d'"
